,increment_sum_abs,funccount,funccount_cum,funccount_cum_neg,percent,percent_cum,percent_cum_neg
48,768,10,95824,1388,0.010286795868822779,98.57219273340735,1.4278072665926516
49,784,13,95837,1375,0.013372834629469614,98.58556556803681,1.414434431963187
50,800,9,95846,1366,0.0092581162819405,98.59482368431875,1.4051763156812456
51,816,8,95854,1358,0.008229436695058222,98.60305312101382,1.396946878986185
52,832,17,95871,1341,0.017487552976998725,98.62054067399082,1.379459326009183
53,848,11,95882,1330,0.011315475455705057,98.63185614944652,1.36814385055348
54,864,3,95885,1327,0.003086038760646834,98.63494218820716,1.3650578117928376
55,880,11,95896,1316,0.011315475455705057,98.64625766366287,1.3537423363371346
56,896,3,95899,1313,0.003086038760646834,98.64934370242351,1.3506562975764922
57,912,8,95907,1305,0.008229436695058222,98.65757313911857,1.3424268608814316
58,928,18,95925,1287,0.018516232563881,98.67608937168245,1.3239106283175488
59,944,15,95940,1272,0.015430193803234168,98.69151956548569,1.3084804345143084
60,960,6,95946,1266,0.006172077521293668,98.69769164300699,1.3023083569930094
61,976,10,95956,1256,0.010286795868822779,98.70797843887581,1.2920215611241872
62,992,14,95970,1242,0.01440151421635189,98.72237995309216,1.2776200469078418
63,1008,10,95980,1232,0.010286795868822779,98.73266674896098,1.2673332510390196
64,1024,80,96060,1152,0.08229436695058223,98.81496111591156,1.185038884088442
65,1040,54,96114,1098,0.055548697691643,98.8705098136032,1.1294901863967937
66,1056,72,96186,1026,0.074064930255524,98.94457474385872,1.0554252561412767
67,1072,31,96217,995,0.03188906719335061,98.97646381105207,1.0235361889479293
68,1088,17,96234,978,0.017487552976998725,98.99395136402907,1.0060486359709273
69,1104,11,96245,967,0.011315475455705057,99.00526683948478,0.9947331605152243
70,1120,87,96332,880,0.08949512405875819,99.09476196354353,0.9052380364564669
71,1136,12,96344,868,0.012344155042587335,99.10710611858612,0.8928938814138832
72,1152,27,96371,841,0.0277743488458215,99.13488046743194,0.865119532568059
73,1168,9,96380,832,0.0092581162819405,99.14413858371388,0.8558614162861176
74,1184,8,96388,824,0.008229436695058222,99.15236802040894,0.847631979591057
75,1200,1,96389,823,0.0010286795868822778,99.15339669999582,0.8466033000041762
76,1216,4,96393,819,0.004114718347529111,99.15751141834335,0.842488581656653
77,1232,6,96399,813,0.006172077521293668,99.16368349586465,0.836316504135354
78,1248,3,96402,810,0.003086038760646834,99.16676953462529,0.8332304653747116
79,1264,8,96410,802,0.008229436695058222,99.17499897132035,0.825001028679651
80,1280,2,96412,800,0.0020573591737645556,99.17705633049411,0.8229436695058894
81,1296,13,96425,787,0.013372834629469614,99.19042916512358,0.8095708348764248
82,1312,17,96442,770,0.017487552976998725,99.20791671810058,0.7920832818994228
83,1328,7,96449,763,0.007200757108175945,99.21511747520876,0.784882524791243
84,1344,8,96457,755,0.008229436695058222,99.22334691190382,0.7766530880961824
85,1360,5,96462,750,0.0051433979344113895,99.22849030983824,0.7715096901617642
86,1376,2,96464,748,0.0020573591737645556,99.230547669012,0.7694523309880026
87,1392,2,96466,746,0.0020573591737645556,99.23260502818576,0.767394971814241
88,1408,4,96470,742,0.004114718347529111,99.23671974653328,0.7632802534667178
89,1424,2,96472,740,0.0020573591737645556,99.23877710570704,0.7612228942929562
90,1440,3,96475,737,0.003086038760646834,99.24186314446769,0.7581368555323138
91,1456,2,96477,735,0.0020573591737645556,99.24392050364145,0.7560794963585522
92,1472,3,96480,732,0.003086038760646834,99.24700654240209,0.7529934575979098
93,1488,3,96483,729,0.003086038760646834,99.25009258116273,0.7499074188372674
94,1504,1,96484,728,0.0010286795868822778,99.25112126074961,0.7488787392503866
95,1520,3,96487,725,0.003086038760646834,99.25420729951026,0.7457927004897442
96,1536,4,96491,721,0.004114718347529111,99.25832201785778,0.741677982142221
97,1552,3,96494,718,0.003086038760646834,99.26140805661842,0.7385919433815786
98,1568,2,96496,716,0.0020573591737645556,99.26346541579218,0.736534584207817
99,1584,2,96498,714,0.0020573591737645556,99.26552277496594,0.7344772250340554
100,1616,2,96500,712,0.0020573591737645556,99.2675801341397,0.7324198658602938
101,1664,3,96503,709,0.003086038760646834,99.27066617290035,0.7293338270996514
102,1680,1,96504,708,0.0010286795868822778,99.27169485248723,0.7283051475127706
103,1696,2,96506,706,0.0020573591737645556,99.27375221166099,0.726247788339009
104,1712,4,96510,702,0.004114718347529111,99.27786693000851,0.7221330699914859
105,1728,4,96514,698,0.004114718347529111,99.28198164835604,0.7180183516439627
106,1744,2,96516,696,0.0020573591737645556,99.2840390075298,0.7159609924702011
107,1760,1,96517,695,0.0010286795868822778,99.28506768711668,0.7149323128833203
108,1776,3,96520,692,0.003086038760646834,99.28815372587732,0.7118462741226779
109,1792,2,96522,690,0.0020573591737645556,99.29021108505108,0.7097889149489163
110,1808,2,96524,688,0.0020573591737645556,99.29226844422485,0.7077315557751547
111,1824,2,96526,686,0.0020573591737645556,99.2943258033986,0.7056741966013931
112,1840,3,96529,683,0.003086038760646834,99.29741184215925,0.7025881578407507
113,1856,1,96530,682,0.0010286795868822778,99.29844052174613,0.7015594782538699
114,1872,2,96532,680,0.0020573591737645556,99.30049788091989,0.6995021190801083
115,1888,1,96533,679,0.0010286795868822778,99.30152656050677,0.6984734394932275
116,1904,1,96534,678,0.0010286795868822778,99.30255524009365,0.6974447599063467
117,1920,2,96536,676,0.0020573591737645556,99.30461259926741,0.6953874007325851
118,1936,2,96538,674,0.0020573591737645556,99.30666995844118,0.6933300415588235
119,1952,1,96539,673,0.0010286795868822778,99.30769863802806,0.6923013619719427
120,1984,1,96540,672,0.0010286795868822778,99.30872731761494,0.6912726823850619
121,2000,1,96541,671,0.0010286795868822778,99.30975599720182,0.6902440027981811
122,2016,1,96542,670,0.0010286795868822778,99.3107846767887,0.6892153232113003
123,2048,27,96569,643,0.0277743488458215,99.33855902563452,0.6614409743654761
124,2064,12,96581,631,0.012344155042587335,99.35090318067711,0.6490968193228923
125,2080,4,96585,627,0.004114718347529111,99.35501789902463,0.6449821009753691
126,2096,7,96592,620,0.007200757108175945,99.36221865613281,0.6377813438671893
127,2112,6,96598,614,0.006172077521293668,99.36839073365411,0.6316092663458903
128,2128,3,96601,611,0.003086038760646834,99.37147677241475,0.6285232275852479
129,2144,3,96604,608,0.003086038760646834,99.3745628111754,0.6254371888246055
130,2160,3,96607,605,0.003086038760646834,99.37764884993604,0.6223511500639631
131,2176,5,96612,600,0.0051433979344113895,99.38279224787046,0.6172077521295449
132,2192,6,96618,594,0.006172077521293668,99.38896432539175,0.6110356746082459
133,2208,3,96621,591,0.003086038760646834,99.3920503641524,0.6079496358476035
134,2224,2,96623,589,0.0020573591737645556,99.39410772332616,0.6058922766738419
135,2240,1,96624,588,0.0010286795868822778,99.39513640291304,0.6048635970869611
136,2256,1,96625,587,0.0010286795868822778,99.39616508249992,0.6038349175000803
137,2272,2,96627,585,0.0020573591737645556,99.39822244167368,0.6017775583263187
138,2304,2,96629,583,0.0020573591737645556,99.40027980084744,0.5997201991525571
139,2320,9,96638,574,0.0092581162819405,99.40953791712938,0.5904620828706157
140,2352,3,96641,571,0.003086038760646834,99.41262395589003,0.5873760441099733
